customer_id,timestamp,channel,event_type
C0100000,2026-06-14 21:05:30.199278,mobile,appointment_request
C0100000,2026-06-21 06:21:40.290008,web,login
C0100000,2026-06-24 09:50:43.368741,web,login
C0100000,2026-07-01 04:30:37.881394,web,login
C0100000,2026-07-01 10:38:20.787797,mobile,login
C0100000,2026-07-09 23:37:44.859615,mobile,login
C0100000,2026-07-12 03:33:35.881821,web,payoff_info_view
C0100000,2026-07-14 10:12:08.695081,web,statement_download
C0100000,2026-07-14 14:29:46.055389,mobile,login
C0100000,2026-07-16 12:39:57.611981,web,login
C0100000,2026-07-19 04:57:46.857280,web,mortgage_page_view
C0100000,2026-07-20 10:51:27.830167,web,login
C0100000,2026-07-22 08:20:59.417277,web,refinance_page_view
C0100000,2026-07-28 12:18:05.098476,web,refinance_page_view
C0100000,2026-08-02 09:50:54.146578,web,mortgage_page_view
C0100000,2026-08-02 21:03:46.563492,mobile,login
C0100000,2026-08-06 20:25:41.310626,mobile,login
C0100000,2026-08-07 01:01:47.204421,mobile,refinance_page_view
C0100000,2026-08-11 00:09:34.275198,web,payoff_info_view
C0100000,2026-08-11 07:43:23.942632,web,statement_download
C0100000,2026-08-13 11:57:11.734647,mobile,refinance_calculator_use
C0100000,2026-08-18 00:22:51.250175,web,statement_download
C0100000,2026-08-20 14:01:13.289806,mobile,refinance_calculator_use
C0100000,2026-08-23 21:34:17.959278,web,login
C0100000,2026-08-25 11:57:09.682837,mobile,rate_page_view
C0100000,2026-09-02 15:32:46.025977,mobile,refinance_page_view
C0100000,2026-09-05 14:50:24.390035,web,rate_page_view
C0100000,2026-09-06 06:27:17.102257,web,refinance_calculator_use
C0100000,2026-09-07 18:49:57.888307,web,mortgage_page_view
C0100000,2026-09-10 12:09:34.518998,web,login
C0100000,2026-09-10 15:52:22.723120,mobile,mortgage_page_view
C0100001,2026-06-23 23:29:22.476027,web,mortgage_page_view
C0100001,2026-06-29 11:33:24.061676,web,statement_download
C0100001,2026-07-08 18:48:37.329338,web,statement_download
C0100001,2026-07-09 17:36:13.215568,mobile,login
C0100001,2026-07-11 10:39:11.217762,mobile,appointment_request
C0100001,2026-07-13 13:16:04.562524,web,appointment_request
C0100001,2026-07-18 07:21:13.826486,mobile,login
C0100001,2026-07-20 18:53:48.936992,web,rate_page_view
C0100001,2026-07-21 18:22:03.980611,web,refinance_calculator_use
C0100001,2026-07-24 22:44:25.855967,mobile,refinance_page_view
C0100001,2026-07-29 17:32:42.480524,mobile,login
C0100001,2026-08-01 13:40:44.596102,web,refinance_calculator_use
C0100001,2026-08-01 23:01:28.426850,mobile,faq_view
C0100001,2026-08-03 09:22:44.534991,web,refinance_page_view
C0100001,2026-08-04 13:54:43.766954,web,statement_download
C0100001,2026-08-04 20:42:38.227415,mobile,login
C0100001,2026-08-05 12:06:36.247268,web,refinance_page_view
C0100001,2026-08-05 14:32:02.748445,web,payoff_info_view
C0100001,2026-08-07 18:33:20.051887,web,rate_page_view
C0100001,2026-08-08 08:40:57.351332,web,refinance_page_view
C0100001,2026-08-08 09:22:40.244662,web,refinance_page_view
C0100001,2026-08-09 17:45:42.751572,web,login
C0100001,2026-08-11 07:34:42.870815,mobile,rate_page_view
C0100001,2026-08-16 13:48:38.129096,web,refinance_page_view
C0100001,2026-08-17 02:05:43.347658,web,refinance_page_view
C0100001,2026-08-21 18:05:50.715840,web,login
C0100001,2026-08-27 17:36:35.872119,mobile,statement_download
C0100001,2026-08-30 16:45:36.549808,mobile,refinance_calculator_use
C0100001,2026-09-01 12:24:03.004289,web,login
C0100001,2026-09-03 12:11:20.126463,mobile,login
C0100001,2026-09-06 20:56:59.212133,web,login
C0100001,2026-09-07 07:17:34.600006,mobile,refinance_calculator_use
C0100001,2026-09-08 12:04:02.233149,web,appointment_request
C0100002,2026-06-18 09:30:06.162665,web,login
C0100002,2026-06-27 18:04:47.977189,web,login
C0100002,2026-07-07 10:51:01.422622,web,statement_download
C0100002,2026-07-09 00:41:51.298347,mobile,login
C0100002,2026-07-19 07:08:26.895061,web,login
C0100002,2026-07-25 10:44:34.912331,mobile,login
C0100002,2026-07-26 18:03:03.475536,web,login
C0100002,2026-08-02 14:36:55.456764,web,mortgage_page_view
C0100002,2026-08-03 01:58:21.420816,mobile,login
C0100002,2026-08-07 21:59:34.104635,web,rate_page_view
C0100002,2026-08-12 02:11:55.484206,mobile,login
C0100002,2026-08-13 04:03:26.664037,mobile,rate_page_view
C0100002,2026-08-13 08:59:36.652191,mobile,statement_download
C0100002,2026-08-13 21:06:16.511726,mobile,refinance_calculator_use
C0100002,2026-08-15 13:58:53.242599,web,login
C0100002,2026-08-16 17:07:15.226411,web,faq_view
C0100002,2026-08-24 02:26:01.438717,mobile,mortgage_page_view
C0100002,2026-08-31 09:28:03.269964,web,refinance_calculator_use
C0100002,2026-08-31 15:41:41.257908,web,refinance_calculator_use
C0100002,2026-09-01 12:24:48.445669,web,login
C0100002,2026-09-05 06:08:39.510922,web,login
C0100002,2026-09-07 01:11:29.637988,mobile,statement_download
C0100002,2026-09-07 04:44:55.118247,web,refinance_calculator_use
C0100002,2026-09-07 04:57:39.242614,web,refinance_page_view
C0100003,2026-06-14 06:04:44.896762,web,login
C0100003,2026-06-15 19:37:37.535669,mobile,login
C0100003,2026-06-21 00:46:51.173190,mobile,login
C0100003,2026-06-24 15:39:40.431121,web,login
C0100003,2026-06-26 04:39:02.689933,web,login
C0100003,2026-07-03 02:42:06.467130,mobile,statement_download
C0100003,2026-07-07 05:05:56.593482,web,login
C0100003,2026-07-10 12:55:03.868259,web,login
C0100003,2026-07-10 13:46:03.164930,mobile,statement_download
C0100003,2026-07-12 19:07:45.791055,mobile,login
C0100003,2026-07-16 01:59:45.641951,web,login
C0100003,2026-07-18 18:36:55.465941,web,mortgage_page_view
C0100003,2026-07-25 05:39:22.351728,web,login
C0100003,2026-07-26 20:50:13.287295,mobile,login
C0100003,2026-07-28 17:52:40.189299,mobile,login
C0100003,2026-08-01 17:50:51.232906,web,refinance_calculator_use
C0100003,2026-08-05 03:42:14.516858,web,statement_download
C0100003,2026-08-12 21:21:18.858941,mobile,login
C0100003,2026-08-16 06:56:58.505946,web,rate_page_view
C0100003,2026-08-28 19:56:22.695637,mobile,faq_view
C0100003,2026-09-03 02:38:03.363138,mobile,login
C0100003,2026-09-10 23:16:06.486448,mobile,login
C0100004,2026-06-14 03:49:56.862138,mobile,login
C0100004,2026-06-15 23:20:47.056934,mobile,login
C0100004,2026-06-18 14:55:42.935125,web,login
C0100004,2026-06-24 07:13:26.896324,mobile,login
C0100004,2026-06-27 09:29:53.171662,web,statement_download
